From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Marie Macdonald,WROTE LETTER TO,Person,Duchess of Hamilton,"1691, Aug 30",,GD406/1/3717
Person,Saltoun,WROTE LETTER TO,Person,Hamilton,"1692, Apr 29",,GD406/1/3718
Person,John Munro,WROTE LETTER TO,Person,Hamilton,"1692, May 26",,GD406/1/3719
Person,John Caldwell,WROTE LETTER TO,Person,David Crawford,"1692,Nov 6",,GD406/1/3720
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Unknown,"1692, Jul 28",,GD406/1/3721
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1692, Mar 22",,GD406/1/3722
Person,Colonel Cordrington,WROTE LETTER TO,Organization,Lords of Committee for Plantations,"1691, Jul 3",,GD406/1/3723
Person,Colonel Kendall,WROTE LETTER TO,Organization,Lords of Committee for Plantations,"1691, Jul 4",,GD406/1/3724
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1691, June 19",,GD406/1/3725
Person,"Archibald, Bishop of the Isles",WROTE LETTER TO,Person,David Crawford,"1691, Dec 19",,GD406/1/3726
Person,M. Fearn,WROTE LETTER TO,Person,David Crawford,"1691, Dec 22",,GD406/1/3727
Person,John Dalrymple,WROTE LETTER TO,Person,David Crawford,"1691, Aug 4",,GD406/1/3728
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Jul 7",,GD406/1/3729
Person,Count Leslie,WROTE LETTER TO,Person,Hamilton,c 1691,,GD406/1/3730
Person,Unknown,WROTE LETTER TO,Person,Arran,"1691, May 21",,GD406/1/3731
Person,Unknown,WROTE LETTER TO,Person,Arran,"1691, June 13",,GD406/1/3732
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Sep 18",,GD406/1/3733
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, May 23",,GD406/1/3734
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1691, Jan 27",,GD406/1/3735
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Oct 29",,GD406/1/3736
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Aug 27",,GD406/1/3737
Person,J. Smith,WROTE LETTER TO,Person,David Crawford,"1691, Sep 9",,GD406/1/3738
Person,Rothes,WROTE LETTER TO,Person,Hamilton,c 1691,,GD406/1/3739
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Jun 30",,GD406/1/3740
Person,James Ogilvie,WROTE LETTER TO,Person,William Black,"1691, Aug 17",,GD406/1/3741
Person,George Simpson,WROTE LETTER TO,Person,David Crawford,"1691, Jul 29",,GD406/1/3742
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Jul 27",,GD406/1/3743
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1691, Aug 3",,GD406/1/3744
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1691, Jun 6",,GD406/1/3745
Person,J. Bunteine,WROTE LETTER TO,Person,David Crawford,"1691, Mar 4",,GD406/1/3746
Person,Robert Johnston,WROTE LETTER TO,Person,David Crawford,"1691, May 15",,GD406/1/3747
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1691, Aug 27",,GD406/1/3748
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1691, Aug 13",,GD406/1/3749
Person,J. C. Dumfries,WROTE LETTER TO,Person,David Crawford,"1691, Aug 24",,GD406/1/3750
Person,E. J.,WROTE LETTER TO,Person,David Crawford,"1691, Jun 21",,GD406/1/3751
Person,"Susan Howard, Panmure",WROTE LETTER TO,Person,David Crawford,"1691, Dec 22",,GD406/1/3752
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Mar 28",,GD406/1/3753
Person,A. Naismith,WROTE LETTER TO,Person,David Crawford,"1691, Dec 15",,GD406/1/3754
Person,James Coltart,WROTE LETTER TO,Person,David Crawford,"1691, Dec 12",,GD406/1/3755
Person,Thomas Wilson,WROTE LETTER TO,Person,David Crawford,"1691, Aug 3",,GD406/1/3756
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1692, Jan 29",,GD406/1/3757
Person,John Saunders,WROTE LETTER TO,Person,William Fullerton,"1691, Jul 21",,GD406/1/3758
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1692, Dec 6",,GD406/1/3759
Person,Unknown,WROTE LETTER TO,Person,David Crawford,"1692, Feb 6",,GD406/1/3760
Person,Selkirk,WROTE LETTER TO,Person,David Crawford,"1691, Dec 17",,GD406/1/3761
Person,John Robertson,WROTE LETTER TO,Person,David Crawford,c. 1691,,GD406/1/3762
Person,John Laing,WROTE LETTER TO,Person,David Crawford,"1692, Sep 29",,GD406/1/3763
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Jul 29",,GD406/1/3764
Person,J. Baillie and A. Naismith,WROTE LETTER TO,Person,David Crawford,"1692, Mar 21",,GD406/1/3765
Person,G. Hamilton,WROTE LETTER TO,Person,Unknown,"1692, May 24",,GD406/1/3766
Person,Lilias Rutherford,WROTE LETTER TO,Person,Duchess of Hamilton,"1692, Nov 2",,GD406/1/3767
Person,Carstares,WROTE LETTER TO,Person,Hamilton,"1692, Dec 8",,GD406/1/3768
Person,Carstares,WROTE LETTER TO,Person,Hamilton,"1692, May 16",,GD406/1/3773
Person,W. Annan,WROTE LETTER TO,Person,David Crawford,"1692, Mar 29",,GD406/1/3778
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Feb 23",,GD406/1/3779
Person,Richard Beavvoir,WROTE LETTER TO,Person,David Crawford,"1692, Sep 24",,GD406/1/3780
Person,James Deanes,WROTE LETTER TO,Person,Arran,"1692, Aug 30",,GD406/1/3781
Person,Robert Webb,WROTE LETTER TO,Person,David Crawford,"1692, Mar 2",,GD406/1/3782
Person,Robert Darloe,WROTE LETTER TO,Person,David Crawford,"1692, Feb 24",,GD406/1/3783
Group,Patrick Moray and Walter Cornwall,WROTE LETTER TO,Person,Hamilton,"1692, May 28",,GD406/1/3784
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Nov 7",,GD406/1/3785
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Jan 9",,GD406/1/3786
Person,Hamilton,WROTE LETTER TO,Person,Unknown,c 1690,,GD406/1/3787
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1692, Feb 9",,GD406/1/3788
Person,John Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Oct 25",,GD406/1/3789
Person,Unknown,WROTE LETTER TO,Person,David Crawford,"1692, Nov 29",,GD406/1/3790
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Oct 14",,GD406/1/3791
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Oct 21",,GD406/1/3792
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Oct 22",,GD406/1/3793
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Oct 24",,GD406/1/3794
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Oct 28",,GD406/1/3795
Person,Gilbert Eliot,WROTE LETTER TO,Person,Hamilton,"1691, Nov 4",,GD406/1/3796
Person,Lady Katherine Ranelagh,WROTE LETTER TO,Person,Duchess of Hamilton,"1690, Aug 6",,GD406/1/3797
Person,William Hamilton,WROTE LETTER TO,Person,Arran,"1692, Jan 6",,GD406/1/3798
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, Dec 1",,GD406/1/3799
Person,William Hamilton,WROTE LETTER TO,Person,Arran,"1692, Aug 30",,GD406/1/3802
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Jul 14",,GD406/1/3803
Person,William Hamilton,WROTE LETTER TO,Person,David Crawford,"1692, Dec 24",,GD406/1/3804
Person,Hamilton,WROTE LETTER TO,Person,Melville,c Jan 1690,,GD406/1/3806
Person,Hamilton,WROTE LETTER TO,Person,John Dalrymple,"1691, Aug 1",,GD406/1/3807
Person,Hamilton,WROTE LETTER TO,Person,King William,"1691, Jun 20",,GD406/1/3808
Person,Hamilton,WROTE LETTER TO,Person,King William,"1691, Nov 2",,GD406/1/3809
Person,Hamilton,WROTE LETTER TO,Person,King William,"1690, Jan 6",,GD406/1/3810
Person,James Johnston,WROTE LETTER TO,Person,Hamilton,"1692, Dec 1",,GD406/1/3814
Person,Hamilton,WROTE LETTER TO,Person,James Johnston,"1692, Dec 10",,GD406/1/3815
Person,W. J.,WROTE LETTER TO,Person,David Crawford,,,GD406/1/3850
Person,Hew Wood,WROTE LETTER TO,Person,David Crawford,"1692, Nov 24",,GD406/1/3879
Person,Sunderland,WROTE LETTER TO,Person,Hamilton,"1690, Jun 29",,GD406/1/3881
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Apr 23",,GD406/1/4082
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Mar 3",,GD406/1/4083
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Feb 16",,GD406/1/4084
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Aug 29",,GD406/1/4085
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Dec 10",,GD406/1/4086
Person,Katherine Polat,WROTE LETTER TO,Person,Arran,"1691, Oct 20",,GD406/1/4087
Person,George Hamilton,WROTE LETTER TO,Person,Arran,"1692, Apr 7",,GD406/1/4089
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1690, Jul 1",,GD406/1/4090
Person,J. Parker,WROTE LETTER TO,Person,Arran,"1691, Apr 28",,GD406/1/4094
Person,Unknown,WROTE LETTER TO,Person,Arran,c 1690s,,GD406/1/4096
Person,Lady Elizabeth Clancarty,WROTE LETTER TO,Person,Arran,c 1690,,GD406/1/4157
Person,James Hamilton,WROTE LETTER TO,Person,David Crawford,"1691, May 26",,GD406/1/4226
Person,Lady Elizabeth Clancarty,WROTE LETTER TO,Person,Lady Anne Spencer,c 1690,,GD406/1/5105
Person,Lady Elizabeth Clancarty,WROTE LETTER TO,Person,Lady Anne Spencer,c 1690,,GD406/1/5106
Person,Countess of Sutherland,WROTE LETTER TO,Person,Arran,c 1691,,GD406/1/5505
Person,Hamilton,WROTE LETTER TO,Person,Unknown,"1688, Mar 29",,GD406/1/6210
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1689, Oct 7",,GD406/1/6218
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,n.d. [c 1689],,GD406/1/6226
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1689, May 26",,GD406/1/6225
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1689, Mar 13",,GD406/1/6227
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1688, Mar 22",,GD406/1/6252
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1688, Jan 27",,GD406/1/6253
