Edge Type,From Location,To Location,Date
Letter,,,"1689, Jul 4"
Letter,Hampton Court,,"1689, Jul 4"
Letter,,,"1689, Jul 9"
Letter,Dover,Edinburgh,"1689, Jul 5"
Letter,Hampton Court,Edinburgh,"1689, Jul 10"
Letter,,,"1689, Jul 11"
Letter,,,"1689, Jul 13"
Letter,,,"1689, Jul 17"
Letter,,,"1689, Jul 19"
Letter,London,,"1689, Jul 25"
Letter,,,"1689, Jul 27"
Letter,,,"1689, Aug 1"
Letter,Hampton Court,Edinburgh,"1689, Aug 1"
Letter,London,,"1689, Aug 3"
Letter,,,"1689, Aug 5"
Letter,London,,"1689, Aug 8"
Letter,London,,"1689, Aug 10"
Letter,London,,"1689, Aug 13"
Letter,London,,"1689, Dec 18"
Letter,London,,"1690, Jan 4"
Letter,London,,"1690, Jan 9"
Letter,London,,"1690, Jan 16"
Letter,London,,"1690, Jan 21"
Letter,London,,"1690, Feb 13"
Letter,Kensington,Edinburgh,"1690, Feb 13"
Letter,London,,"1690, Jul 11"
Letter,,,"1691, Jul 29"
Letter,,,"1691, Aug 22"
Letter,St. Gerard,Edinburgh,"1691, Aug 27"
Letter,,,"1691, Aug 8"
Letter,,,"1691, Aug"
Letter,Whitehall,,"1691, Sep 22"
Letter,Hague,,1691
Letter,Whitehall,,"1691, Oct 22"
Letter,,,"1691, Nov 17"
Letter,,,"1691, Dec 19"
Letter,London,,"1692, Jan 5"
Letter,,,"1690, May 17"
Letter,Kensington,Edinburgh,"1690, Apr 18"
Letter,,,"1690, Nov 7"
Letter,Paisley,Edinburgh,"1690, Apr 4"
Letter,Arran,,"1690, Jul 10"
Warrant,Edinburgh,Edinburgh,"1690, Dec 4"
Letter,Berwick,,"1690, Nov 16"
Letter,London,,"1690, Aug 19"
Letter,Berwick,,"1690, Aug 24"
Letter,,,"1690, May 13"
Letter,Nevis,,"1690, May 6"
Letter,"Hen & Chickings, Covent Garden",,"1690, May 15"
Letter,,,"1690, Apr 3"
Letter,,,"1690, May 30"
Letter,,,"1690, May 20"
Letter,London,,"1690, Apr 10"
Letter,Harwich,,"1691, Jan 31"
Letter,Edinburgh,,"1691, Apr 22"
Letter,,,"1691, Feb 17"
Letter,Althrop,,"1692, Jan 13"
Letter,London,,"1691, May 19"
Letter,London,,"1691, Nov 21"
Letter,London,,"1691, Oct 27"
Letter,Glasgow,,"1691, May 6"
Letter,Athlone,,"1692, Jan 4"
Letter,Berwick,,"1691, Aug 1"
Letter,Althrop,,"1691, Dec 7"
Letter,Althrop,,"1691, May 16"
Letter,Althrop,,"1691, Mar 26"
Letter,Kinneil,,"1692, Nov 5"
Letter,Charing Cross,,"1692, Apr 20"
Letter,Elsick,,"1692, Jan 12"
Letter,Edinburgh,,"1692, Apr 27"
Letter,Edinburgh,,"1692, May 3"
Letter,London,,"1692, Jan 12"
Letter,Hamilton,,"1692, Feb 1"
Letter,Hamilton,,"1692, Jan 26"
Letter,Fettersee,,"1691, Jun 21"
Letter,Fettersee,,"1691, Aug 30"
Letter,Edinburgh,,"1692, Apr 29"
Letter,Inverary,,"1692, May 26"
Letter,Hamilton,,"1692,Nov 6"
Letter,Hamilton,,"1692, Jul 28"
Letter,Hamilton,,"1692, Mar 22"
Letter,Leeward Islands,,"1691, Jul 3"
Letter,Barbados,,"1691, Jul 4"
Letter,Hamilton,,"1691, June 19"
Letter,Edinburgh,,"1691, Dec 19"
Letter,,,"1691, Dec 22"
Letter,,,"1691, Aug 4"
Letter,,,"1691, Jul 7"
Letter,Graz,,1691
Letter,London,,"1691, May 21"
Letter,London,,"1691, June 13"
Letter,Holyrood House,,"1691, Sep 18"
Letter,Holyrood House,,"1691, May 23"
Letter,Hamilton,,"1691, Jan 27"
Letter,Holyrood House,,"1691, Oct 29"
Letter,,,"1691, Aug 27"
Letter,Edinburgh,,"1691, Sep 9"
Letter,Berwick,,1691
Letter,,,"1691, Jun 30"
Letter,Fettercairn,,"1691, Aug 17"
Letter,Hamilton,,"1691, Jul 29"
Letter,,,"1691, Jul 27"
Letter,Hamilton,,"1691, Aug 3"
Letter,Hamilton,,"1691, Jun 6"
Letter,Edinburgh,,"1691, Mar 4"
Letter,Newgate Common,,"1691, May 15"
Letter,Hamilton,,"1691, Aug 27"
Letter,Hamilton,,"1691, Aug 13"
Letter,Dumfries,,"1691, Aug 24"
Letter,,,"1691, Jun 21"
Letter,Panmure,,"1691, Dec 22"
Letter,,,"1691, Mar 28"
Letter,Hamilton,,"1691, Dec 15"
Letter,Crawfordjohn,,"1691, Dec 12"
Letter,Hamilton,,"1691, Aug 3"
Letter,Hamilton,,"1692, Jan 29"
Letter,Newton,,"1691, Jul 21"
Letter,Hamilton,,"1692, Dec 6"
Letter,London,,"1692, Feb 6"
Letter,London,,"1691, Dec 17"
Letter,,,1691
Letter,Edinburgh,,"1692, Sep 29"
Letter,Hamilton,,"1692, Jul 29"
Letter,Hamilton,,"1692, Mar 21"
Letter,Barnton,,"1692, May 24"
Letter,Edinburgh,,"1692, Nov 2"
Letter,London,,"1692, Dec 8"
Letter,Brussells,,"1692, May 16"
Letter,Balderston,,"1692, Mar 29"
Letter,London,,"1692, Feb 23"
Letter,London,,"1692, Sep 24"
Letter,London,,"1692, Aug 30"
Letter,Hamilton Park,,"1692, Mar 2"
Letter,Hamilton,,"1692, Feb 24"
Letter,Edinburgh,,"1692, May 28"
Letter,Hamilton,,"1692, Nov 7"
Letter,Edinburgh,,"1692, Jan 9"
Letter,,,1690
Letter,Hamilton,,"1692, Feb 9"
Letter,Holyrood House,,"1692, Oct 25"
Letter,Hamilton,,"1692, Nov 29"
Letter,Edinburgh,,"1691, Oct 14"
Letter,Edinburgh,,"1691, Oct 21"
Letter,Edinburgh,,"1691, Oct 22"
Letter,Edinburgh,,"1691, Oct 24"
Letter,Edinburgh,,"1691, Oct 28"
Letter,Edinburgh,,"1691, Nov 4"
Letter,,,"1690, Aug 6"
Letter,,,"1692, Jan 6"
Letter,London,,"1691, Dec 1"
Letter,,,"1692, Aug 30"
Letter,,,"1692, Jul 14"
Letter,,,"1692, Dec 24"
Letter,,,1690
Letter,,,"1691, Aug 1"
Letter,London,,"1691, Jun 20"
Letter,Hamilton,,"1691, Nov 2"
Letter,Hamilton,London,"1690, Jan 6"
Letter,London,,"1692, Dec 1"
Letter,Holyrood House,,"1692, Dec 10"
Letter,,,
Letter,,,"1692, Nov 24"
Letter,Althrope,,"1690, Jun 29"
Letter,,,"1691, Apr 23"
Letter,,,"1691, Mar 3"
Letter,,,"1691, Feb 16"
Letter,,,"1691, Aug 29"
Letter,,,"1691, Dec 10"
Letter,,,"1691, Oct 20"
Letter,,,"1692, Apr 7"
Letter,Kinneil,,"1690, Jul 1"
Letter,London,,"1691, Apr 28"
Letter,Whitehall,,1690s
Letter,,,1690
Letter,Hamilton,,"1691, May 26"
Letter,Althrope,,1690
Letter,,,1690
Letter,,,1691
Letter,Holyrood House,,"1688, Mar 29"
Letter,,,"1689, Oct 7"
Letter,,,1689
Letter,,,"1689, May 26"
Letter,,,"1689, Mar 13"
Letter,Abby,,"1688, Mar 22"
Letter,Hamilton,,"1688, Jan 27"
Letter,Hamilton,,"1688, Jan 20"
Letter,Edinburgh,,"1688, Jan 27"
Letter,Kinneil,,"1688, Apr 21"
Letter,Hamilton,,"1688, Apr 27"
Letter,,,1689
Letter,,Windsor,1688
Letter,London,,"1692, Feb 2"
Letter,Hamilton,,"1689, Feb 28"
Letter,Holyrood House,,"1689, Aug 3"
Letter,London,,"1689, Aug 31"
Letter,London,,"1689, Sep 3"
Letter,London,,"1689, Sep 5"
Letter,London,,"1689, Sep 10"
Letter,London,,"1689, Sep 14"
Letter,London,,"1689, Sep 17"
Letter,London,,"1689, Sep 21"
Letter,London,,"1689, Sep 23"
Letter,London,,"1689, Sep 30-Oct 1"
Letter,London,,"1689, Oct 3"
Letter,London,,"1689, Oct 5"
Letter,London,,"1689, Oct 8"
Letter,London,,"1689, Oct 10"
Letter,London,,"1689, Oct 15"
Letter,,,1689
Letter,London,,"1689, Oct 17"
Letter,London,,"1689, Oct 19"
Letter,London,,"1689, Oct 22"
Letter,London,,"1689, Oct 24"
Letter,London,,"1689, Oct 26"
Letter,London,,"1689, Oct 29"
Letter,London,,"1689, Oct 31"
Letter,London,,"1689, Nov 2"
Letter,Kinneil,,"1691, May 14"
Letter,London,,"1689, Nov 5"
Letter,London,,"1689, Nov 9"
Letter,London,,"1689, Nov 12"
Letter,London,,"1689, Nov 14"
Letter,London,,"1689, Nov 16"
Letter,London,,"1689, Nov 19"
Letter,London,,"1689, Nov 21"
Letter,London,,"1689, Nov 25-26"
Letter,Turin,,1687/1688
Business,Edinburgh,,"1688, May 14"
Letter,St. James,,1689
Letter,Linplum,,"1692, Mar 16"
Letter,London,,1688
Letter,Hampton Court,,"1688, Nov 5"
Letter,,,1688
