From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,John Dalrymple,Edinburgh,WROTE LETTER TO,Person,Arran,,"1688, Mar 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3493
Person,D. Bellot,Sandon,WROTE LETTER TO,Person,Mrs. Astbury,,"1688, June",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3494
Person,W. Chetwynd,Ingestre,WROTE LETTER TO,Person,Lady Gerard,,"1688, Jun 16",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3495
Person,D. Bellot,Sandon,WROTE LETTER TO,Person,Edward Hungerford,,"1688, Jul 9",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3497
Person,H. Perye,,WROTE LETTER TO,Person,Lady Gerard,,"1688, Aug 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3499
Person,Robert Cunningham,Edinburgh,WROTE LETTER TO,Person,James Hamilton,,"1688, Jul 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3500
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1688, May 15",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3502
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamilton,London,n/a,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3503
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamilton,London,"1688, Dec 23",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3504
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamilton,London,"1688, Dec 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3505
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamilton,London,"1688, May 15",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3506
Person,D. Nairne,Dublin,Intercepted Letter,Person,Melfort,"St. Foord, Nairne","1689, Mar 29",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3507
Person,Melfort,Dublin,Intercepted Letter,Person,Perth,,"1689, Mar 29",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3508
Person,Melfort,Dublin,Intercepted Letter,Person,Mr. Brodie,,c1689,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3509
Person,George Middleton,Killkenny,Intercepted Letter,Person,Major Robert Middleton,Leith,"1689, Mar 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3510
Person,A. Kennedy,Dublin,Intercepted Letter,Person,Balcarres,,"1689, Mar 28",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3511
Person,Lord Drummond,Dublin,Intercepted Letter,Person,Perth,,"1689, Mar 28",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3512
Person,"Servant, Lord Drummond",Dublin,Intercepted Letter,Person,Perth,,"1689, Mar 28",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3513
Person,David Cairnes,Campbeltown,WROTE LETTER TO,Person,Argyll,,"1689, Jul 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3514
Person,Dugal Campbell,Campbeltown,WROTE LETTER TO,Person,Argyll,,"1689, Jul 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3515
Person,John Campbell,Inverary,WROTE LETTER TO,Person,Argyll,,"1689, Jul 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3516
Person,William Campbell,"Adventor, Margtilipanig Bay",WROTE LETTER TO,Person,Mr. Davgall Campbell,Glensadal,"1689, Jul 10",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3517
Person,Angus Campbell,Kilberry,WROTE LETTER TO,Person,Unknown,,"1689, Jul 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3518
Person,Glencairn,Glasgow,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3519
Person,Tweeddale,London,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3520
Person,Shrewsbury,London,WROTE LETTER TO,Person,Hamilton,,"1689, Apr 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3521
Person,Viscount Tarbat,,WROTE LETTER TO,Person,Hamilton,,"1689, Jun 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3522
Person,Viscount Tarbat,,Petition,Organization,Privy Council ,,"1689, Jun 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3523
Person,Schomberg,"Cleveland, Highlake Road ",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 12",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3524
Ship,Swallow,Londonderry Loch,Memorandum,Person,Hamilton,,"1689, Jun 19",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3525
Person,Schomberg,"Cleveland, Bangor Bay",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3526
Group,George Walker & John Michelburn,Londonderry,WROTE LETTER TO,Person,Major General Kirk,,"1689, Jul 19",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3527
Person,Robert Brotherson,,WROTE LETTER TO,Person,His cousin Thomas,,"1689, Jul 26",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3528
