From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Group,Unknown,Highland Clans,Military Report,Person,,Unknown,c. 1689,1,GD26/8/71,
Person,Huntly,Unknown,WROTE LETTER TO,Person,,Dunfermline,c. 1689,1,GD26/8/72,
Person,Edinburgh Tollbooth,Thomas Dunbar,WROTE LETTER TO,Person,Edinburgh Castle,Lt. Col. Wilson,c. 1689,2,GD26/8/73,
Group,Unknown,Cap. McAdam; two officers,Report,Person,,Unknown,c. 1689,1,GD26/8/74,
Person,Strathdon,James Winchester,WROTE LETTER TO,Person,,Dunfermline,c. 1689,1,GD26/8/75,
Person,Unknown,William Riach,Information,Person,,Melville,c. 1689,1,GD26/8/76,
Person,Edinburgh,Unknown,Information,Person,,Melville,c. 1689,1,GD26/8/77,
Person,Lochiel,Ewan Cameron,WROTE LETTER TO,Person,,Canon,"1690, Jan 18",1,GD26/8/78,
Person,Brae of Mar,John Farquarson,WROTE LETTER TO,Person,,Canon,"1690, Jan 26",1,GD26/8/79,
Person,Duart,Alexander McDowall,WROTE LETTER TO,Person,,Canon,"1690, Jan 26",1,GD26/8/80,
Person,Duart,Alexander McLean,WROTE LETTER TO,Person,,Canon,"1690, Jan 28",1,GD26/8/81,
Person,Inverlochy,Alexander McDonald,WROTE LETTER TO,Person,,Glengarry,"1690, Feb 1",1,GD26/8/82,
Person,Mull,Buchan,WROTE LETTER TO,Person,Lochaber,Canon,"1690, Feb 3",1,GD26/8/83,
Person,Belfast,John Boyd,Deposition,Group,Irvine,Skelmorlie; Provost of Irvine,"1690, Feb 5",1,GD26/8/84,
Person,Duart,Alexander McDowall,WROTE LETTER TO,Person,Lochaber,Canon,"1690, Feb 27",1,GD26/8/85,
Person,Dunollie,A. McDougall,WROTE LETTER TO,Person,,Laird McNaughton,"1690, Mar 2",1,GD26/8/86,
Person,Unknown,Patrick Logan,WROTE LETTER TO,Person,,Buchan,"1690, Mar 5",1,GD26/8/87,
Person,Unknown,McNaughton,WROTE LETTER TO,Person,,Canon,"1690, Mar 8",1,GD26/8/88,
Person,Moidart,Allan McDonald,WROTE LETTER TO,Person,,Canon,"1690, Mar 8",1,GD26/8/89,
Person,Fyvie,Lady Dunfermline,WROTE LETTER TO,Person,,Dunfermline,"1689, Mar 18",1,GD26/8/90,
Person,Dublin,King James,Commission,Organization,,Parliament,"1690, Mar",1,GD26/8/91,
Person,Dublin,King James,Plan for Invasion,Group,,Jacobites,"1690, Mar",1,GD26/8/91,
Person,Thurso,William McKay,WROTE LETTER TO,Person,Inverness,Thomas Livingston,c. 1690,2,GD26/8/92,
Person,Aberdeen,John Buchan,WROTE LETTER TO,Person,,Unknown,"1690, Apr 7",1,GD26/8/93,
Person,Dublin,King James,Instructions,Organization,,Parliament,"1690, Apr 13",2,GD26/8/93a,
Person,London,Unknown,WROTE LETTER TO,Person,Edinburgh,Melville,"1690, May 30",1,GD26/8/94,
Person,France,Jameson,WROTE LETTER TO,Person,,Thomas Davidson,"1690, Jun 29",1,GD26/8/95,
Person,Duart,Alexander McDowall,WROTE LETTER TO,Person,,Aeneas Macpherson,"1690, Jul 18",1,GD26/8/96,
Person,Dumfries,John Grierson,WROTE LETTER TO,Person,,Melville,"1690, Aug 6",1,GD26/8/97,
Person,Edinurgh,James Graham,Passes,Group ,,Bellenden,"1690, Sep 2",1,GD26/8/98,
Person,Fedderate,Buchan,WROTE LETTER TO,Person,,Hamilton,"1690, Sep 18",1,GD26/8/99,
Person,Essex,J. Ribault,WROTE LETTER TO,Person,,Melville,"1690, Dec 9",1,GD26/8/101,
Person,Ardsheal,John Stewart,Information,Person,,Laird McNaughton,c. 1690,1,GD26/8/102,
Person,Unknown,Isobel McNaughton,WROTE LETTER TO,Person,,McNaughton,c. 1690,1,GD26/8/103,
Person,Castle Kilchurn,I. Campbell,WROTE LETTER TO,Person,,Laird McNaughton,c. 1690,5,GD26/8/104,
Person,Unknown,A. Kennedy,WROTE LETTER TO,Person,,Canon,c. 1690,1,GD26/8/105,
Person,Strathdon,James Winchester,WROTE LETTER TO,Person,,Dunfermline,c. 1690,1,GD26/8/106,
Person,Unknown,Alexander Canon,WROTE LETTER TO,Person,,Laird McNaughton,c. 1690,1,GD26/8/107,
Person,Unknown,Alexander Canon,WROTE LETTER TO,Person,,Laird McNaughton,c. 1690,1,GD26/8/108,
Person,Duart,McLean of Duart,WROTE LETTER TO,Person,,Canon,c. 1690,1,GD26/8/109,
Person,Duart,McLean of Duart,WROTE LETTER TO,Person,,James McLean,c. 1690,1,GD26/8/110,
