From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,NRS Reference,
Person,A. Kennedy,Unknown,WROTE LETTER TO,Person,Canon,,c. 1690,1,GD26/8/105,
Person,James Winchester,Strathdon,WROTE LETTER TO,Person,Dunfermline,,c. 1690,1,GD26/8/106,
Person,Alexander Canon,Unknown,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,1,GD26/8/107,
Person,Alexander Canon,Unknown,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,1,GD26/8/108,
Person,McLean of Duart,Duart,WROTE LETTER TO,Person,Canon,,c. 1690,1,GD26/8/109,
Person,McLean of Duart,Duart,WROTE LETTER TO,Person,James McLean,,c. 1690,1,GD26/8/110,
Person,Unknown,Unknown,WROTE LETTER TO,Person,Unknown,,c. 1690,1,GD26/8/111,
Person,Alexander McDowall,Unknown,WROTE LETTER TO,Person,Canon,,c. 1690,1,GD26/8/112,
Person,Unknown,Unknown,Letters,Person,Unknown,,c. 1690,4,GD26/8/113,
Group,John Chapel; John Price; Richard Morris,Unknown,Discovery,Person,Melville,,c. 1690,1,GD26/8/114,
Group,Highland Chieftains,Unknown,Declaration,Person,Parliament,,c. 1690,1,GD26/8/115,
Person,Gordon,Unknown,Declaration,Person,Unknown,,c. 1690,1,GD26/8/116,Regent of College of Glasgow
Person,Canon,Lochaber,WROTE LETTER TO,Person,Melfort,Dublin,c. 1690,1,GD26/8/117,
Person,Balcarres,Edinburgh Castle,Discourse,Person,King James ,,c. 1690,1,GD26/8/118,
Group,John Price; Richard Morris,Edinburgh,Report,Person,Melville,,c. 1690,1,GD26/8/119,
Person,Buchan,Isle of Skye,WROTE LETTER TO,Person,Canon,,c. 1690,1,GD26/8/120,
Person,John Chapel,Unknown,Information,Person,Melville,,"1691, Feb",1,GD26/8/121,
Person,John Mackie,Edinburgh,WROTE LETTER TO,Person,Melville,London,1690-1691,24,GD26/8/122,
Person,Unknown,Unknown,Papers,Person,Melville,,1690-1703,9,GD26/8/123,
Person,Jacobite Agent,"Mallow, Cork",WROTE LETTER TO,Person,Jacobite Agent,,"1691, Jan 17",2,GD26/8/124,
Person,Unknown,London,WROTE LETTER TO,Person,John Drummond,,"1691, Apr 14",1,GD26/8/125,
Person,Melfort,"Rome,Italy",WROTE LETTER TO,Person,Cap. Cole,Livorno,"1691, Aug 12",1,GD26/8/126,
Person,Unknown,St. Germaine,WROTE LETTER TO,Person,Melville,London,"1691, Aug 30",1,GD26/8/127,
Group,Shires of Perth; Stirling; Dumbarton,Perth,Account ,Person,Melville,London,1691,1,GD26/8/128,
Person,Buchan,Unknown,Agreement,Person,Breadalbane,,1691,1,GD26/8/129,
Person,A. Gordon,Invergarry,WROTE LETTER TO,Person,Aeneas Macpherson,,"1692, Jan 6",1,GD26/8/130,
Person,Melfort,St. Germaine,Copy Letter,Person,Unknown,,1692,1,GD26/8/131,
