Source,Target,Weight,
Hamilton,Lord Murray,1,
Hay,Breadalbane,2,
Highland Chieftains,James VII,2,
Highland Chieftains,Melville,1,
Highland Chieftains,Mackay,1,
Hugh Campbell of Cawdor,Cameron of Lochiell,1,
I. Campbell,McNaughton of McNaughton,5,
Isobel McNaughton,McNaughton,1,
J Cameron,Breadalbane,1,
J Erskine,Carwhin,1,
J Farlane,Breadalbane,1,
J Hay,Melville,1,
J Sinclaire,Breadalbane,1,
J Macleane,Breadalbane,1,
J McNaughton,Breadalbane,1,ex sheriff depute Argyll
J Pringle,Alexander Campbell of Barcardine,1,
James Campbell,Breadalbane,1,
James Fountain + William Douglas,Cannon,1,
James Foulis,Breadalbane,1,
James Graham,Melville,1,
James Graham of Orchill,Breadalbane,1,
James Hamilton,Unknown,1,
James Winchester,Dunfermline,3,
Jameson,Thomas Davidson,1,
Jane Wallace,Mayor of Carlisle,1,
Janet Brodie,Alexander Chisholm,1,
Jean Gordon,Dunfermline,1,
Jo. or An. Kippen,Breadalbane,1,
Jo. Tyrie,Mungo Campbell,1,
John Boyd,Skelmorlie + Alexander Cunningham,1,
John Buchan,Unknown,1,
John Campbell of Carrick,Breadalbane,1,
John Campbell of Invergeldie,Breadalbane,1,
John Campbell of Mamore,Breadalbane,2,
John Chapel,Melville,1,
"John Chapel, John Price, Richard Morris",Melville,1,
John Dalrymple,Thomas Livingston,3,
John Dalrymple,Sir Patrick Murray,1,
John Dalrymple,Breadalbane,3,
John Drummond,Unknown,1,
John Fairholme of Craigiehall,Annandale,1,
John Farquharson,Cannon,2,
John Grant,Unknown,1,
John Grierson,Melville,1,
John Macky,Melville,24,
John McNaughton,Laird of Pollock,1,
"John Price, Richard Morris",Melville,1,
John Robertson,Lord Murray,1,
John Stewart,McNaughton of McNaughton,1,
Kilbride,Perth,1,
King William,Breadalbane,1,
King William,Mar,1,
Leonard Robertson,Lord Murray,2,
Linlithgow,Breadalbane,1,
Lord Moray,Breadalbane,1,
Lord Murray,Lord James Murray of Dowally,1,
Lord Murray,James Stewart of Kinrorie,1,
Lord Murray,Unknown,1,
Lord Neill Campbell,Breadalbane and his nephew,1,
Lothian,Breadalbane,1,
Lt. Col. Achenbruck,Lt. Fairful,1,
Lt. Col. John Buchan,Hamilton,1,
Marchioness of Atholl,Lord Murray,1,
Mackay,Breadalbane,1,
Mackay,Lord Murray,3,
Mackay,Commander of Colonel Langton's regiment,1,
MacIntosh of Torcastle,Breadalbane,1,
Mari Baillie,Lord Murray,1,
"Marie, Countess of Perth",Unknown,1,
Major Duncan Menzies,Breadalbane,1,
"Mary, Countess of Caithness",Breadalbane,8,
"Mary, Countess of Caithness",Mrs Campbell,8,
"Mary, Countess of Caithness",Carwhin,1,
"Mary, Countess of Caithness",Lady Carwhin,1,
McLean of Duart,Cannon,1,
McLean of Duart,James McLean,1,
McDougall of Dunolich,Cannon,1,
McDougall of Dunolich,McNaughton,1,
McGregor,Dunfermline,1,
McNaughton,James Crawford,1,
McNaughton,Canon,1,
"McNaughton, brother-in-law",Breadalbane,1,
"McNaughton, younger",Lady McNaughton,1,
Melfort,Captain Cole,1,
Melfort,Unknown,1,
"Mrs Campbell, wife or Carwhin",Mrs Elizabeth Pringle,1,
Mungo Campbell,Breadalbane,2,
Mungo Campbell of Kenloch,Breadalbane,1,
Newcastle,Breadalbane,4,
Nottingham,Breadalbane,1,
Pa. Urquart,Breadalbane,1,
Patrick Birnie,Alexander Campbell of Barcaldine,1,
Patrick Campbell,Duncan Campbell,1,
Patrick Logan,Buchan,1,
Patrick Moray of Ochertyre,Lord Murray,1,
Patrick Stewart,Breadalbane,1,
Patrick Stuart of Ballechin,Lord Murray,2,
Perth,Countess Errol,2,
Perth,Melfort,1,
Perth,Atholl,1,
Perth,Mar,8,
Perth,Breadalbane,6,
"Perth, Dumbarton, Tarbat",Mar,1,
Peter McCulloch,John McCulloch,1,
Privy Council ,Mar,2,
Privy Council ,Breadalbane,1,
Privy Council ,King James,1,
Privy Council ,Privy Council,1,
R. Campbell of Glenlyon,Lord Murray,1,
Ribaut,Melville,1,
Robert Gordon,Countess Dunfermline,1,
Robert Murray,Marquis Atholl,1,
Robert Stewart of Appin,Dunfermline,1,
"Susanne Campbell, Lady Neill Campbell",Breadalbane,1,
Tarbat,Glengarrie,1,
Thomas Bass,Melville,1,
Thomas Dunbar,Lt. Col. Wilson,1,
Thomas Stuart of Stenton,Lord Murray,1,
Tenants of Cardross,Melville,1,
Viscount Massereene,John How,1,
Wigtown,Perth,1,
William Bennett,Robert Boyle,1,
William Bennett,William Bruce,2,
William Bennett,Robert Macky,2,
William Bennett,Helen Maxwell,1,
William Bennett,John Aitkine,2,
William Hamilton of Whitelaw,Annandale,3,
William McKay,Livingston,2,
William Paterson,Breadalbane,1,
William Riach,Melville,1,
Williamite Spy,Melville,1,
Sir W Dunbar,Breadalbane,2,
