"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Person","Melville","Letter","Person","Hamilton","9","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","ae1e743a-d1bf-41bb-8a23-db9d2f912f89"
"Person","Lady Gerard","Letter","Person","Unknown","1","16ad3896-f2fd-4c2c-a024-c94c68a1b31e","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","fb597ad4-8047-4aa0-bbce-69a8f67de712"
"Person","Thomas Moncrieff","Letter","Person","Hamilton","1","8dc5f561-3893-4ece-b5dd-960c2ca6ee25","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","cd3740f1-0a10-4843-8b04-f4f4b1d66cda"
"Person","Anne Ferrers","Letter","Person","Lady Gerard","2","3a9a0566-10c8-4a4d-b93a-8109a1fb9b5f","9d957034-5dba-4505-a312-154a15d00bd0","16ad3896-f2fd-4c2c-a024-c94c68a1b31e","ff1577ae-46d2-4064-afdf-72bbaa49bace"
"Person","Unknown","Letter","Person","Argyll","1","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","56541097-2284-46e0-be3d-4246aefe0c8c","cdaeaa5b-85c6-46cd-bbfe-e4c89194ec11"
"Person","Hill","Letter","Person","Melville","9","ce5ac88b-be77-4c06-aaee-83d8b9f3ccc9","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","eb7efec5-e033-42dd-907d-84414b5ec252"
"Person","J. Hay","Letter","Person","Melville","1","c300f069-88ca-4d59-934e-24f5919bb30f","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","5a46273f-ff48-4bc3-ae9e-3f6401a778c9"
"Person","Alice Smith","Letter","Person","Lady Gerard","1","5fdd627a-cd59-4022-b7b0-6b9e7134682b","9d957034-5dba-4505-a312-154a15d00bd0","16ad3896-f2fd-4c2c-a024-c94c68a1b31e","c437590f-166f-49d6-9b7d-a64056748d92"
"Person","Countess of Sunderland","Letter","Person","Duchess of Hamilton","2","f7a5cf63-5d35-4915-aa12-e790b977adf3","9d957034-5dba-4505-a312-154a15d00bd0","bd1090b3-01c5-4fba-afb5-2c972382a9fe","1ee2a5f7-c058-4e05-9a88-6cf81f8901af"
"Person","Nottingham","Letter","Person","Melville","8","dba41d0b-260a-4732-bf80-25098071f527","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","226b35c7-8046-4b47-992b-d9f32fd4db98"
"Person","Sir George Lockhart","Letter","Person","Arran","1","6fd5ca5c-a3af-4664-8480-e18c7d45c76e","9d957034-5dba-4505-a312-154a15d00bd0","e8b02d95-be78-43e3-aa78-948e459cd9fe","9f44c516-bb15-4e05-9f56-df1ad98f92ba"
"Person","Falconer of Phesdo","Letter","Person","Melville","1","6b0aebe2-397d-40c6-963d-a64fc898035e","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","60a83aa9-4ecf-4a99-8e01-31ea76f2b74d"
"Person","Unknown","Letter","Person","Langton","1","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","1205f496-1a7e-4dce-843d-b628c21d8cba","6858416d-a9d8-444e-9418-08619e2f6994"
"Person","Drumlanrig","Letter","Person","Melville","1","f625d6cb-6409-443c-98d7-b8284b3cbb6e","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","e0aacdbe-17ae-4b3a-a79f-2cf794fabee1"
