"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","George Milne",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2687ded9-581b-45e1-a7ed-4d4b14b4bfd8"
"Person","Charles Melville",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","30ea580e-2bbd-4c9c-95c4-8633d9fb7aad"
"Person","Mr. Crawford",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","8b544c57-50d0-4736-ad40-7aa9d6f68369"
"Person","Thomas Morton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","4f3ab597-ed95-4cb4-a487-5354e86fe56e"
"Person","Lt. Col. James Auchenbruc",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","09436954-221a-46b1-9e00-0d26d5481f29"
"Person","Dr. Munro",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2e9775d2-95f8-42d8-be19-5cfbaefb4426"
"Person","Arthur Naismith",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","642a239a-fedf-4d8f-8ab8-60ecd9904e15"
"Person","Patrick Bellenden",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","49625b49-d548-47a6-8cfd-204706ee92d0"
"Person","James",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b5f4a5c2-182b-42d1-8e01-2bab485cbe8e"
"Person","Stewart of Coltness",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","532590d1-6926-422b-8da2-5c7de48f028d"
"Person","Robert Naismith",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","38e91bea-f81b-48f4-9765-f9260cfe6e1f"
"Person","Archibald, Bishop of the Isles",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","5e0381c3-4b19-46e3-9b8a-4be6af70bbed"
"Person","Rothes",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6afb3bb5-2ad6-4329-baa3-ad3bd0e15033"
"Person","James Deanes",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","89617fd7-1f01-41a2-b8e6-048703a56584"
"Person","Dionisius Inglis",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9e479f80-5faa-4c70-9e01-72283c9465a4"
"Person","Alexander Hume",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ffdee10c-85e0-47d7-b131-629b3407c8a0"
"Person","John Clark, younger",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0ec8421c-1969-4b63-9c8c-c0f4491b4039"
"Person","Thomas Dunbar",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","fbbced84-5dd8-4da2-887d-d9dcaa5310ab"
